pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.067,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0687,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1234,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0599,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.1432,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.1008,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.056,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0145,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1151,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.0262,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.134,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.159,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.1121,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.0765,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.2002,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.0324,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.1709,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.0725,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0707,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.0598,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1294,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.0627,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.154,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.1069,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.085,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.0729,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.1272,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.1016,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.1771,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.3506,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.282,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.2476,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.4986,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.2522,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.4186,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0303,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0214,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.0429,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.0991,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.1776,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.1487,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.3494,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.397,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.2616,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.373,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.3923,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.3509,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.914,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.7155,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.4874,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,1.2388,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.4491,3
16,n<=16,sr>70%,kvB<=16k,kp=0,1.2139,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.174,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.1547,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.2504,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.2022,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.2914,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.3871,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.7636,4
