prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,64,64,128,307.274
16,64,64,256,457.824
16,64,64,512,813.441
16,64,64,1024,1556.93
16,64,64,2048,3070.68
16,64,64,4096,6090.45
16,64,64,8192,12177.7
16,64,64,16384,24262.5
16,64,128,16,327.083
16,64,128,32,335.04
16,64,128,64,381.547
16,64,128,128,623.041
16,64,128,256,901.153
16,64,128,512,1594.97
16,64,128,1024,3083.52
16,64,128,2048,6101.79
16,64,128,4096,12140.3
16,64,128,8192,24233.3
16,64,128,16384,48361.1
16,128,0,0,15.2213
16,128,1,16,14.432
16,128,1,32,14.432
16,128,1,64,14.496
16,128,1,128,17.0343
16,128,1,256,19.872
16,128,1,512,27.5733
16,128,1,1024,43.2213
16,128,1,2048,74.944
16,128,1,4096,136.171
16,128,1,8192,258.784
16,128,1,16384,504.043
16,128,2,16,22.7947
16,128,2,32,23.04
16,128,2,64,23.104
16,128,2,128,26.3467
16,128,2,256,31.9787
16,128,2,512,46.9867
16,128,2,1024,75.8827
16,128,2,2048,110.368
16,128,2,4096,168.683
16,128,2,8192,284.534
16,128,2,16384,517.269
16,128,4,16,28.3947
16,128,4,32,28.789
16,128,4,64,28.981
16,128,4,128,35.7227
16,128,4,256,45.0347
16,128,4,512,67.2213
16,128,4,1024,105.547
16,128,4,2048,162.965
16,128,4,4096,278.55
16,128,4,8192,511.446
16,128,4,16384,986.039
16,128,8,16,39.584
16,128,8,32,39.9893
16,128,8,64,40.7467
16,128,8,128,54.347
16,128,8,256,71.1687
16,128,8,512,107.371
16,128,8,1024,168.043
16,128,8,2048,287.329
16,128,8,4096,522.689
16,128,8,8192,992.984
16,128,8,16384,1973
16,128,16,16,61.6743
16,128,16,32,62.752
16,128,16,64,63.904
16,128,16,128,91.0727
16,128,16,256,121.909
16,128,16,512,186.752
16,128,16,1024,305.398
16,128,16,2048,539.329
16,128,16,4096,1011.36
16,128,16,8192,2010.06
16,128,16,16384,4478.34
16,128,32,16,104.437
16,128,32,32,106.774
16,128,32,64,108.619
16,128,32,128,163.552
16,128,32,256,224.14
16,128,32,512,350.401
16,128,32,1024,591.702
16,128,32,2048,1102.32
16,128,32,4096,2408.5
16,128,32,8192,5438.72
16,128,32,16384,10864.3
16,128,64,16,190.614
16,128,64,32,195.392
16,128,64,64,199.51
16,128,64,128,310.476
16,128,64,256,465.399
16,128,64,512,806.167
16,128,64,1024,1560.42
16,128,64,2048,3073.15
16,128,64,4096,6093.15
16,128,64,8192,12175.2
16,128,64,16384,24264.2
16,128,128,16,367.766
16,128,128,32,376.545
16,128,128,64,385.676
16,128,128,128,625.399
16,128,128,256,904.792
16,128,128,512,1597
16,128,128,1024,3086.08
16,128,128,2048,6104.12
16,128,128,4096,12132.5
16,128,128,8192,24220.8
16,128,128,16384,48354.6
16,256,0,0,18.4533
16,256,1,16,17.9627
16,256,1,32,20
16,256,1,64,20.0643
16,256,1,128,20.0747
16,256,1,256,20.9493
16,256,1,512,27.691
16,256,1,1024,43.179
16,256,1,2048,74.9017
16,256,1,4096,136.075
16,256,1,8192,258.849
16,256,1,16384,504.194
16,256,2,16,26.6133
16,256,2,32,26.7837
16,256,2,64,26.827
16,256,2,128,30.4533
16,256,2,256,34.5497
16,256,2,512,46.987
16,256,2,1024,76.8433
16,256,2,2048,123.786
16,256,2,4096,183.126
16,256,2,8192,299.606
16,256,2,16384,538.039
16,256,4,16,32.3303
16,256,4,32,32.459
16,256,4,64,32.7573
16,256,4,128,39.5843
16,256,4,256,47.4987
16,256,4,512,67.2533
16,256,4,1024,109.867
16,256,4,2048,172.864
16,256,4,4096,290.017
16,256,4,8192,517.837
16,256,4,16384,989.464
16,256,8,16,43.4453
16,256,8,32,44.0853
16,256,8,64,44.7893
16,256,8,128,58.07
16,256,8,256,73.3763
16,256,8,512,107.744
16,256,8,1024,175.393
16,256,8,2048,294.539
16,256,8,4096,533.132
16,256,8,8192,1004.91
16,256,8,16384,1967.74
16,256,16,16,66.102
16,256,16,32,67.2967
16,256,16,64,68.299
16,256,16,128,94.3787
16,256,16,256,124.673
16,256,16,512,186.507
16,256,16,1024,312.47
