prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,64,16384,58178.8
16,256,128,16,536.492
16,256,128,32,549.047
16,256,128,64,565.207
16,256,128,128,1041.05
16,256,128,256,1911.92
16,256,128,512,3760.61
16,256,128,1024,7399.5
16,256,128,2048,14735
16,256,128,4096,29360.5
16,256,128,8192,58665.1
16,256,128,16384,117199
16,512,0,0,26.9013
16,512,1,16,37.695
16,512,1,32,37.9407
16,512,1,64,38.047
16,512,1,128,44.7887
16,512,1,256,44.6923
16,512,1,512,47.6257
16,512,1,1024,73.6523
16,512,1,2048,107.561
16,512,1,4096,163.464
16,512,1,8192,274.939
16,512,1,16384,495.928
16,512,2,16,43.1783
16,512,2,32,43.487
16,512,2,64,43.9997
16,512,2,128,45.3963
16,512,2,256,52.6713
16,512,2,512,66.111
16,512,2,1024,95.5717
16,512,2,2048,151.571
16,512,2,4096,265.35
16,512,2,8192,490.617
16,512,2,16384,962.067
16,512,4,16,50.9967
16,512,4,32,51.135
16,512,4,64,51.317
16,512,4,128,62.207
16,512,4,256,70.996
16,512,4,512,86.3027
16,512,4,1024,140.595
16,512,4,2048,252.647
16,512,4,4096,483.491
16,512,4,8192,944.604
16,512,4,16384,1851.64
16,512,8,16,68.575
16,512,8,32,69.386
16,512,8,64,70.143
16,512,8,128,88.852
16,512,8,256,108.735
16,512,8,512,145.129
16,512,8,1024,241.341
16,512,8,2048,446.01
16,512,8,4096,878.355
16,512,8,8192,1851.63
16,512,8,16384,4038.99
16,512,16,16,99.9347
16,512,16,32,101.545
16,512,16,64,103.518
16,512,16,128,142.057
16,512,16,256,184.104
16,512,16,512,264.402
16,512,16,1024,469.7
16,512,16,2048,1137.13
16,512,16,4096,2616.41
16,512,16,8192,5544.55
16,512,16,16384,11774.7
16,512,32,16,162.803
16,512,32,32,166.622
16,512,32,64,169.608
16,512,32,128,248.946
16,512,32,256,340.07
16,512,32,512,572.888
16,512,32,1024,1385.47
16,512,32,2048,3153.56
16,512,32,4096,6701.53
