pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0017,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0017,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0017,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0019,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0013,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0018,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,-0.0006,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,-0.0015,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0013,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,-0.0003,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0027,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0007,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0022,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0015,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0005,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0016,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,-0.0002,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0015,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0005,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0006,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0008,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.0011,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0007,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0005,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0036,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,-0.0001,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0044,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0013,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0013,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.0004,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0004,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.001,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.0001,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.002,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.003,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0016,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,0.0022,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.0018,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,0.0015,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,-0.0006,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.0007,4
16,n<=128,sr>70%,kvB<=16k,kp=0,0.003,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.0058,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.0068,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.003,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,-0.0029,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.0077,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.0058,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,0.0007,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.0033,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,0.0032,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.0006,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.001,4
16,n<=128,sr>70%,kvB<=4k,kp=0,0.0027,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.0416,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.0352,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.0037,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.056,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,-0.0081,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.0549,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0726,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0647,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0541,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1004,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0675,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.122,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.0497,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.0145,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0581,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.0552,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.0829,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.0661,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.0582,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.033,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.0192,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.0706,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.0019,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.1024,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.0732,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0719,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.068,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.115,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.1035,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.1233,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.1322,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.1229,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.2129,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.1189,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.1737,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.218,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.1769,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.1681,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.1274,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.2451,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.1358,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.2943,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0138,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0204,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.049,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.0993,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.2186,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.0759,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.2864,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.4977,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.5971,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.2542,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.7076,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.6853,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.4774,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.4542,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.4161,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.8158,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.5646,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.9236,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.5448,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.7061,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.9831,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.4907,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,1.0135,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.3418,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.8299,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,1.2461,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,5.3418,3
16,n<=16,sr>70%,kvB<=4k,kp<=512,1.1711,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,2.7343,2
16,n<=16,sr>70%,kvB<=4k,kp=0,2.8289,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.2002,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.1487,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.2694,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.2812,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.231,2
