layer,tokens,compute_us,dma_us,time_us
o_proj,128,44.15659999999953,49.16219999999866,66.80619999999927
o_proj,256,174.73840000000047,56.48479999999968,120.66279999999969
o_proj,512,340.6141999999995,68.87039999999993,215.72020000000043
o_proj,1024,267.6046000000004,93.82820000000046,316.5186000000005
o_proj,2048,537.8785999999993,174.97620000000035,582.0701999999998
qkv_proj,1,8.47320000000018,64.59439999999981,67.7065999999999
qkv_proj,2,9.983600000000092,62.11439999999916,65.04659999999956
qkv_proj,4,9.8154,65.52220000000052,68.44160000000015
qkv_proj,8,9.651199999999426,59.47400000000107,62.27080000000073
qkv_proj,16,10.527399999999579,66.73059999999955,69.89559999999979
qkv_proj,32,27.307400000000236,60.684599999999726,66.09479999999976
qkv_proj,64,54.93820000000123,70.40959999999959,80.64359999999961
qkv_proj,128,112.82320000000064,74.46279999999987,93.83659999999952
qkv_proj,256,186.75979999999916,100.99419999999941,136.5057999999999
qkv_proj,512,343.8807999999999,201.7590000000031,256.96100000000104
qkv_proj,1024,437.69419999999957,245.50679999999966,460.8035999999999
qkv_proj,2048,2340.3126000000016,195.92540000000116,1261.7472000000014
rotary_emb,1,7.723999999999774,2.816000000000122,7.757399999999711
rotary_emb,2,7.702599999999075,5.620599999999103,8.765999999999348
rotary_emb,4,10.07740000000058,4.461200000000872,10.585000000001127
rotary_emb,8,8.080200000000241,4.4186000000008105,9.486200000000508
rotary_emb,16,7.211599999992177,4.599399999999878,8.872399999994013
rotary_emb,32,11.364999999999805,5.0417999999998075,12.538799999999696
rotary_emb,64,7.531399999999212,4.923000000000139,9.053400000000329
rotary_emb,128,10.225999999999795,8.290600000000314,12.793999999999915
rotary_emb,256,12.344800000000395,12.97320000000218,16.51119999999737
rotary_emb,512,18.88399999999988,18.98759999999952,25.272599999999557
rotary_emb,1024,30.819599999999582,32.80079999999934,42.67499999999991
rotary_emb,2048,55.01820000000862,58.160999999996235,75.89220000001077
