t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
323.0,1415.0,251.0,11,0,0.0
324.0,0.0,330.0,11,0,0.0
325.0,536.0,322.0,12,0,0.0
326.0,0.0,348.0,12,0,0.0
327.0,262.0,374.0,13,0,0.0
328.0,0.0,350.0,12,0,0.0
329.0,627.0,349.0,13,0,0.0
330.0,0.0,342.0,11,0,0.0
331.0,735.0,313.0,11,0,0.0
332.0,0.0,311.0,10,0,0.0
333.0,380.0,306.0,11,0,0.0
334.0,0.0,329.0,10,0,0.0
335.0,611.0,293.0,10,0,0.0
336.0,0.0,300.0,10,0,0.0
337.0,822.0,294.0,11,0,0.0
338.0,0.0,330.0,11,0,0.0
339.0,602.0,299.0,11,0,0.0
340.0,0.0,335.0,10,0,0.0
341.0,899.0,284.0,11,0,0.0
342.0,0.0,305.0,10,0,0.0
343.0,482.0,316.0,11,0,0.0
344.0,0.0,330.0,11,0,0.0
345.0,1207.0,298.0,12,0,0.0
346.0,0.0,341.0,11,0,0.0
347.0,1052.0,333.0,12,0,0.0
348.0,0.0,360.0,12,0,0.0
349.0,1320.0,340.0,11,0,0.0
350.0,0.0,330.0,11,0,0.0
351.0,2082.0,248.0,12,0,0.0
352.0,0.0,333.0,11,0,0.0
353.0,627.0,310.0,10,0,0.0
354.0,0.0,300.0,10,0,0.0
355.0,1734.0,229.0,11,0,0.0
356.0,0.0,330.0,11,0,0.0
357.0,1313.0,274.0,12,0,0.0
358.0,0.0,317.0,10,0,0.0
359.0,1617.0,240.0,11,0,0.0
360.0,0.0,319.0,11,0,0.0
361.0,1603.0,310.0,12,0,0.0
362.0,0.0,333.0,11,0,0.0
363.0,338.0,333.0,12,0,0.0
364.0,0.0,336.0,12,0,0.0
365.0,954.0,298.0,12,0,0.0
366.0,0.0,348.0,12,0,0.0
367.0,1096.0,298.0,12,0,0.0
368.0,0.0,348.0,12,0,0.0
369.0,1361.0,323.0,13,0,0.0
370.0,0.0,346.0,12,0,0.0
371.0,2764.0,219.0,12,0,0.0
372.0,0.0,336.0,12,0,0.0
373.0,817.0,323.0,13,0,0.0
374.0,0.0,362.0,12,0,0.0
375.0,391.0,336.0,13,0,0.0
376.0,0.0,362.0,12,0,0.0
377.0,721.0,361.0,12,0,0.0
378.0,0.0,348.0,12,0,0.0
379.0,726.0,323.0,13,0,0.0
380.0,0.0,344.0,11,0,0.0
381.0,1447.0,274.0,12,0,0.0
382.0,0.0,336.0,12,0,0.0
383.0,633.0,335.0,13,0,0.0
384.0,0.0,335.0,11,0,0.0
385.0,493.0,333.0,12,0,0.0
386.0,0.0,340.0,11,0,0.0
387.0,1747.0,250.0,12,0,0.0
388.0,0.0,344.0,11,0,0.0
389.0,974.0,298.0,12,0,0.0
390.0,0.0,322.0,11,0,0.0
391.0,638.0,321.0,12,0,0.0
392.0,0.0,348.0,12,0,0.0
393.0,635.0,336.0,13,0,0.0
394.0,0.0,353.0,12,0,0.0
395.0,509.0,317.0,11,0,0.0
396.0,0.0,330.0,10,0,0.0
397.0,454.0,305.0,11,0,0.0
398.0,0.0,330.0,11,0,0.0
399.0,1220.0,297.0,12,0,0.0
400.0,0.0,360.0,12,0,0.0
401.0,806.0,349.0,13,0,0.0
402.0,0.0,374.0,12,0,0.0
403.0,607.0,316.0,11,0,0.0
404.0,0.0,330.0,11,0,0.0
405.0,536.0,333.0,12,0,0.0
406.0,0.0,321.0,10,0,0.0
407.0,397.0,306.0,11,0,0.0
408.0,0.0,330.0,11,0,0.0
409.0,833.0,310.0,12,0,0.0
410.0,0.0,360.0,12,0,0.0
411.0,1109.0,308.0,12,0,0.0
412.0,0.0,348.0,12,0,0.0
413.0,526.0,361.0,13,0,0.0
414.0,0.0,340.0,11,0,0.0
415.0,1265.0,297.0,12,0,0.0
416.0,0.0,360.0,12,0,0.0
417.0,505.0,336.0,12,0,0.0
418.0,0.0,341.0,11,0,0.0
419.0,1231.0,315.0,11,0,0.0
420.0,0.0,309.0,10,0,0.0
421.0,1581.0,251.0,11,0,0.0
422.0,0.0,328.0,10,0,0.0
423.0,1941.0,229.0,11,0,0.0
424.0,0.0,325.0,10,0,0.0
425.0,805.0,275.0,10,0,0.0
426.0,0.0,300.0,10,0,0.0
427.0,867.0,284.0,11,0,0.0
428.0,0.0,319.0,11,0,0.0
429.0,727.0,303.0,11,0,0.0
430.0,0.0,319.0,11,0,0.0
431.0,738.0,321.0,12,0,0.0
432.0,0.0,320.0,11,0,0.0
433.0,420.0,334.0,12,0,0.0
434.0,0.0,348.0,12,0,0.0
435.0,1947.0,258.0,13,0,0.0
436.0,0.0,371.0,11,0,0.0
437.0,1011.0,298.0,12,0,0.0
438.0,0.0,348.0,12,0,0.0
439.0,545.0,326.0,12,0,0.0
440.0,0.0,348.0,12,0,0.0
441.0,1077.0,309.0,11,0,0.0
442.0,0.0,313.0,10,0,0.0
443.0,531.0,301.0,9,0,0.0
444.0,0.0,270.0,9,0,0.0
445.0,363.0,288.0,10,0,0.0
446.0,0.0,300.0,10,0,0.0
447.0,1583.0,251.0,11,0,0.0
448.0,0.0,330.0,11,0,0.0
449.0,696.0,322.0,12,0,0.0
450.0,0.0,348.0,12,0,0.0
451.0,1130.0,323.0,13,0,0.0
452.0,0.0,377.0,13,0,0.0
453.0,520.0,367.0,13,0,0.0
454.0,0.0,349.0,12,0,0.0
455.0,1288.0,318.0,11,0,0.0
456.0,0.0,319.0,11,0,0.0
457.0,797.0,309.0,12,0,0.0
458.0,0.0,351.0,11,0,0.0
459.0,634.0,322.0,12,0,0.0
460.0,0.0,334.0,11,0,0.0
461.0,1179.0,297.0,12,0,0.0
462.0,0.0,342.0,10,0,0.0
463.0,352.0,293.0,10,0,0.0
464.0,0.0,293.0,9,0,0.0
465.0,476.0,287.0,10,0,0.0
466.0,0.0,300.0,10,0,0.0
467.0,655.0,295.0,11,0,0.0
468.0,0.0,319.0,11,0,0.0
469.0,1785.0,261.0,12,0,0.0
470.0,0.0,315.0,10,0,0.0
471.0,1644.0,251.0,11,0,0.0
472.0,0.0,319.0,11,0,0.0
473.0,466.0,334.0,12,0,0.0
474.0,0.0,348.0,12,0,0.0
475.0,1871.0,324.0,12,0,0.0
476.0,0.0,310.0,10,0,0.0
477.0,1087.0,283.0,11,0,0.0
478.0,0.0,319.0,11,0,0.0
479.0,1624.0,274.0,12,0,0.0
480.0,0.0,339.0,10,0,0.0
481.0,857.0,284.0,11,0,0.0
482.0,0.0,291.0,9,0,0.0
483.0,361.0,287.0,10,0,0.0
484.0,0.0,290.0,10,0,0.0
485.0,657.0,291.0,10,0,0.0
486.0,0.0,300.0,10,0,0.0
487.0,675.0,271.0,10,0,0.0
488.0,0.0,290.0,10,0,0.0
489.0,1054.0,272.0,11,0,0.0
490.0,0.0,319.0,11,0,0.0
491.0,790.0,309.0,12,0,0.0
492.0,0.0,348.0,12,0,0.0
493.0,730.0,327.0,12,0,0.0
494.0,0.0,347.0,11,0,0.0
495.0,3998.0,140.0,12,0,0.0
496.0,0.0,348.0,12,0,0.0
497.0,810.0,305.0,12,0,0.0
498.0,0.0,315.0,10,0,0.0
499.0,904.0,249.0,10,0,0.0
500.0,0.0,300.0,10,0,0.0
501.0,554.0,290.0,10,0,0.0
502.0,0.0,285.0,9,0,0.0
503.0,371.0,288.0,10,0,0.0
504.0,0.0,290.0,10,0,0.0
505.0,369.0,316.0,11,0,0.0
506.0,0.0,319.0,11,0,0.0
507.0,502.0,322.0,12,0,0.0
508.0,0.0,327.0,11,0,0.0
509.0,739.0,321.0,12,0,0.0
510.0,0.0,332.0,11,0,0.0
511.0,359.0,333.0,12,0,0.0
512.0,0.0,320.0,10,0,0.0
513.0,820.0,283.0,11,0,0.0
514.0,0.0,330.0,11,0,0.0
515.0,877.0,285.0,11,0,0.0
516.0,0.0,330.0,11,0,0.0
517.0,524.0,322.0,12,0,0.0
518.0,0.0,348.0,12,0,0.0
519.0,387.0,361.0,13,0,0.0
520.0,0.0,377.0,13,0,0.0
